id,question,answer,filename
718mYsQTQbL,What are the items in the image?,Bibs,4c/4c533ad7.jpg
718mYsQTQbL,What color is the solid bib?,Yellow,4c/4c533ad7.jpg
718mYsQTQbL,How many bibs are shown?,Six,4c/4c533ad7.jpg
718mYsQTQbL,What material are the bibs?,Cotton,4c/4c533ad7.jpg
718mYsQTQbL,Does one bib have a striped pattern?,Yes,4c/4c533ad7.jpg
718mYsQTQbL,What fruit pattern includes a green dot?,Watermelon,4c/4c533ad7.jpg
718mYsQTQbL,What citrus fruit is pictured on a bib?,Lemons,4c/4c533ad7.jpg
718mYsQTQbL,What color is the border on the watermelon bib?,Orange,4c/4c533ad7.jpg
718mYsQTQbL,Is a solid white bib visible?,Yes,4c/4c533ad7.jpg
718mYsQTQbL,"Based on the details, are these for infants?",Yes,4c/4c533ad7.jpg
81n2w4Ne0yL,What type of animal food is shown?,cat,73/7339dbbd.jpg
81n2w4Ne0yL,What brand is on the can?,Whole,73/7339dbbd.jpg
81n2w4Ne0yL,What flavor is this cat dinner?,Beef,73/7339dbbd.jpg
81n2w4Ne0yL,Is this food grain-free?,Yes,73/7339dbbd.jpg
81n2w4Ne0yL,Is this food in a can?,Yes,73/7339dbbd.jpg
81n2w4Ne0yL,What ingredient is listed as number one?,Beef,73/7339dbbd.jpg
81n2w4Ne0yL,What year was the pictured cat rescued?,2008,73/7339dbbd.jpg
81n2w4Ne0yL,What ingredients are stated to be excluded from the food?,Corn,73/7339dbbd.jpg
81n2w4Ne0yL,What is the name of the cat pictured?,Pumpkin,73/7339dbbd.jpg
81n2w4Ne0yL,What activity does the text say the cat enjoys daily?,Bath,73/7339dbbd.jpg
61D2NEA+aoL,What does 'UV' stand for on this filter?,Ultraviolet,9a/9a09c358.jpg
61D2NEA+aoL,What company produces this brand?,Amazon,9a/9a09c358.jpg
61D2NEA+aoL,What number is printed on the filter?,52,9a/9a09c358.jpg
61D2NEA+aoL,Is the filter ring black?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Is this item a camera accessory?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Is this product likely in a budget price range?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Can this filter help protect the front of a lens?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Does this filter typically reduce haze in landscape photos taken on film?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Is this filter attached by twisting onto the lens?,Yes,9a/9a09c358.jpg
61D2NEA+aoL,Will a UV filter noticeably improve digital image quality in most conditions?,No,9a/9a09c358.jpg
71Eh+9AyVCL,What is the main color of the notebook cover?,Red,3b/3ba6ec1d.jpg
71Eh+9AyVCL,What brand name is on the notebook?,Amazon,3b/3ba6ec1d.jpg
71Eh+9AyVCL,How many sheets are in the notebook?,100,3b/3ba6ec1d.jpg
71Eh+9AyVCL,What letter grade does the target range start with?,K,3b/3ba6ec1d.jpg
71Eh+9AyVCL,What kind of notebook is pictured?,Composition,3b/3ba6ec1d.jpg
71Eh+9AyVCL,What color is the ruling baseline shown?,Red,3b/3ba6ec1d.jpg
71Eh+9AyVCL,Can you write your name on the cover?,Yes,3b/3ba6ec1d.jpg
71Eh+9AyVCL,Are the ruling lines plain or primary style?,Primary,3b/3ba6ec1d.jpg
71Eh+9AyVCL,Is the main brand text capitalized?,Yes,3b/3ba6ec1d.jpg
71Eh+9AyVCL,Does the cover have a pattern of dots?,Yes,3b/3ba6ec1d.jpg
912MoK+QXuL,What color is the shoe?,Grey,27/27a828c4.jpg
912MoK+QXuL,Is the shoe a slip-on type?,Yes,27/27a828c4.jpg
912MoK+QXuL,What object is shown in the image?,Shoe,27/27a828c4.jpg
912MoK+QXuL,Is there a logo visible on the shoe?,Yes,27/27a828c4.jpg
912MoK+QXuL,Does this shoe have laces?,No,27/27a828c4.jpg
912MoK+QXuL,What specific geometric shape is the side logo?,Triangle,27/27a828c4.jpg
912MoK+QXuL,What describes the surface appearance of the lower part of the upper?,Smooth,27/27a828c4.jpg
912MoK+QXuL,What elastic feature goes across the top of the shoe?,Band,27/27a828c4.jpg
912MoK+QXuL,How many main layers make up the sole profile?,Three,27/27a828c4.jpg
912MoK+QXuL,What is the main material used for the upper section?,Mesh,27/27a828c4.jpg
61jhx-zcfIL,What color is the sandal?,Black,1c/1ca020d0.jpg
61jhx-zcfIL,What type of footwear is shown?,Sandal,1c/1ca020d0.jpg
61jhx-zcfIL,Is this sandal for women?,Yes,1c/1ca020d0.jpg
61jhx-zcfIL,What material is the sandal made of?,Leather,1c/1ca020d0.jpg
61jhx-zcfIL,Does the upper strap have a cutout design?,Yes,1c/1ca020d0.jpg
61jhx-zcfIL,Does this sandal have a high heel?,No,1c/1ca020d0.jpg
61jhx-zcfIL,Is the toe shape of the sandal pointed?,No,1c/1ca020d0.jpg
61jhx-zcfIL,Does the sandal appear to be waterproof?,No,1c/1ca020d0.jpg
61jhx-zcfIL,Is the sandal designed as a flip-flop?,No,1c/1ca020d0.jpg
61jhx-zcfIL,Is the sole of the sandal thick?,No,1c/1ca020d0.jpg
81fKX48RynL,What type of mobile accessory is pictured?,Case,57/57626acc.jpg
81fKX48RynL,Does this cover the front or back of a phone?,Back,57/57626acc.jpg
81fKX48RynL,What type of shapes make up the pattern?,Geometric,57/57626acc.jpg
