id,question,answer
718mYsQTQbL,What are the items in the image?,Bibs
718mYsQTQbL,What color is the solid bib?,Yellow
718mYsQTQbL,How many bibs are shown?,Six
718mYsQTQbL,What material are the bibs?,Cotton
718mYsQTQbL,Does one bib have a striped pattern?,Yes
718mYsQTQbL,What fruit pattern includes a green dot?,Watermelon
718mYsQTQbL,What citrus fruit is pictured on a bib?,Lemons
718mYsQTQbL,What color is the border on the watermelon bib?,Orange
718mYsQTQbL,Is a solid white bib visible?,Yes
718mYsQTQbL,"Based on the details, are these for infants?",Yes
81n2w4Ne0yL,What type of animal food is shown?,cat
81n2w4Ne0yL,What brand is on the can?,Whole
81n2w4Ne0yL,What flavor is this cat dinner?,Beef
81n2w4Ne0yL,Is this food grain-free?,Yes
81n2w4Ne0yL,Is this food in a can?,Yes
81n2w4Ne0yL,What ingredient is listed as number one?,Beef
81n2w4Ne0yL,What year was the pictured cat rescued?,2008
81n2w4Ne0yL,What ingredients are stated to be excluded from the food?,Corn
81n2w4Ne0yL,What is the name of the cat pictured?,Pumpkin
81n2w4Ne0yL,What activity does the text say the cat enjoys daily?,Bath
61D2NEA+aoL,What does 'UV' stand for on this filter?,Ultraviolet
61D2NEA+aoL,What company produces this brand?,Amazon
61D2NEA+aoL,What number is printed on the filter?,52
61D2NEA+aoL,Is the filter ring black?,Yes
61D2NEA+aoL,Is this item a camera accessory?,Yes
61D2NEA+aoL,Is this product likely in a budget price range?,Yes
61D2NEA+aoL,Can this filter help protect the front of a lens?,Yes
61D2NEA+aoL,Does this filter typically reduce haze in landscape photos taken on film?,Yes
61D2NEA+aoL,Is this filter attached by twisting onto the lens?,Yes
61D2NEA+aoL,Will a UV filter noticeably improve digital image quality in most conditions?,No
71Eh+9AyVCL,What is the main color of the notebook cover?,Red
71Eh+9AyVCL,What brand name is on the notebook?,Amazon
71Eh+9AyVCL,How many sheets are in the notebook?,100
71Eh+9AyVCL,What letter grade does the target range start with?,K
71Eh+9AyVCL,What kind of notebook is pictured?,Composition
71Eh+9AyVCL,What color is the ruling baseline shown?,Red
71Eh+9AyVCL,Can you write your name on the cover?,Yes
71Eh+9AyVCL,Are the ruling lines plain or primary style?,Primary
71Eh+9AyVCL,Is the main brand text capitalized?,Yes
71Eh+9AyVCL,Does the cover have a pattern of dots?,Yes
912MoK+QXuL,What color is the shoe?,Grey
912MoK+QXuL,Is the shoe a slip-on type?,Yes
912MoK+QXuL,What object is shown in the image?,Shoe
912MoK+QXuL,Is there a logo visible on the shoe?,Yes
912MoK+QXuL,Does this shoe have laces?,No
912MoK+QXuL,What specific geometric shape is the side logo?,Triangle
912MoK+QXuL,What describes the surface appearance of the lower part of the upper?,Smooth
912MoK+QXuL,What elastic feature goes across the top of the shoe?,Band
912MoK+QXuL,How many main layers make up the sole profile?,Three
912MoK+QXuL,What is the main material used for the upper section?,Mesh
61jhx-zcfIL,What color is the sandal?,Black
61jhx-zcfIL,What type of footwear is shown?,Sandal
61jhx-zcfIL,Is this sandal for women?,Yes
61jhx-zcfIL,What material is the sandal made of?,Leather
61jhx-zcfIL,Does the upper strap have a cutout design?,Yes
61jhx-zcfIL,Does this sandal have a high heel?,No
61jhx-zcfIL,Is the toe shape of the sandal pointed?,No
61jhx-zcfIL,Does the sandal appear to be waterproof?,No
61jhx-zcfIL,Is the sandal designed as a flip-flop?,No
61jhx-zcfIL,Is the sole of the sandal thick?,No
81fKX48RynL,What type of mobile accessory is pictured?,Case
81fKX48RynL,Does this cover the front or back of a phone?,Back
81fKX48RynL,What type of shapes make up the pattern?,Geometric
81fKX48RynL,Are the colors on the case vibrant?,Yes
