id,question,answer,original_index,predicted_answer,ground_truth_normalized
718mYsQTQbL,What are the items in the image?,Bibs,0,bibs,bibs
718mYsQTQbL,What color is the solid bib?,Yellow,1,yellow,yellow
718mYsQTQbL,How many bibs are shown?,Six,2,6,six
718mYsQTQbL,What material are the bibs?,Cotton,3,cloth,cotton
718mYsQTQbL,Does one bib have a striped pattern?,Yes,4,yes,yes
718mYsQTQbL,What fruit pattern includes a green dot?,Watermelon,5,lemon,watermelon
718mYsQTQbL,What citrus fruit is pictured on a bib?,Lemons,6,lemon,lemons
718mYsQTQbL,What color is the border on the watermelon bib?,Orange,7,red,orange
718mYsQTQbL,Is a solid white bib visible?,Yes,8,no,yes
718mYsQTQbL,"Based on the details, are these for infants?",Yes,9,yes,yes
81n2w4Ne0yL,What type of animal food is shown?,cat,10,cat,cat
81n2w4Ne0yL,What brand is on the can?,Whole,11,cat,whole
81n2w4Ne0yL,What flavor is this cat dinner?,Beef,12,beef,beef
81n2w4Ne0yL,Is this food grain-free?,Yes,13,yes,yes
81n2w4Ne0yL,Is this food in a can?,Yes,14,yes,yes
81n2w4Ne0yL,What ingredient is listed as number one?,Beef,15,grain,beef
81n2w4Ne0yL,What year was the pictured cat rescued?,2008,16,2009,2008
81n2w4Ne0yL,What ingredients are stated to be excluded from the food?,Corn,17,cat food,corn
81n2w4Ne0yL,What is the name of the cat pictured?,Pumpkin,18,cat,pumpkin
81n2w4Ne0yL,What activity does the text say the cat enjoys daily?,Bath,19,eating,bath
61D2NEA+aoL,What does 'UV' stand for on this filter?,Ultraviolet,20,reflection,ultraviolet
61D2NEA+aoL,What company produces this brand?,Amazon,21,olympus,amazon
61D2NEA+aoL,What number is printed on the filter?,52,22,5,52
61D2NEA+aoL,Is the filter ring black?,Yes,23,yes,yes
61D2NEA+aoL,Is this item a camera accessory?,Yes,24,yes,yes
61D2NEA+aoL,Is this product likely in a budget price range?,Yes,25,yes,yes
61D2NEA+aoL,Can this filter help protect the front of a lens?,Yes,26,yes,yes
61D2NEA+aoL,Does this filter typically reduce haze in landscape photos taken on film?,Yes,27,yes,yes
61D2NEA+aoL,Is this filter attached by twisting onto the lens?,Yes,28,yes,yes
61D2NEA+aoL,Will a UV filter noticeably improve digital image quality in most conditions?,No,29,no,no
71Eh+9AyVCL,What is the main color of the notebook cover?,Red,30,red,red
71Eh+9AyVCL,What brand name is on the notebook?,Amazon,31,sharpie,amazon
71Eh+9AyVCL,How many sheets are in the notebook?,100,32,10,100
71Eh+9AyVCL,What letter grade does the target range start with?,K,33,c,k
71Eh+9AyVCL,What kind of notebook is pictured?,Composition,34,spiral bound,composition
71Eh+9AyVCL,What color is the ruling baseline shown?,Red,35,white,red
71Eh+9AyVCL,Can you write your name on the cover?,Yes,36,no,yes
71Eh+9AyVCL,Are the ruling lines plain or primary style?,Primary,37,plain,primary
71Eh+9AyVCL,Is the main brand text capitalized?,Yes,38,yes,yes
71Eh+9AyVCL,Does the cover have a pattern of dots?,Yes,39,yes,yes
912MoK+QXuL,What color is the shoe?,Grey,40,gray,grey
912MoK+QXuL,Is the shoe a slip-on type?,Yes,41,no,yes
912MoK+QXuL,What object is shown in the image?,Shoe,42,shoe,shoe
912MoK+QXuL,Is there a logo visible on the shoe?,Yes,43,yes,yes
912MoK+QXuL,Does this shoe have laces?,No,44,no,no
912MoK+QXuL,What specific geometric shape is the side logo?,Triangle,45,triangle,triangle
912MoK+QXuL,What describes the surface appearance of the lower part of the upper?,Smooth,46,smooth,smooth
912MoK+QXuL,What elastic feature goes across the top of the shoe?,Band,47,shoelace,band
912MoK+QXuL,How many main layers make up the sole profile?,Three,48,2,three
912MoK+QXuL,What is the main material used for the upper section?,Mesh,49,leather,mesh
61jhx-zcfIL,What color is the sandal?,Black,50,black,black
61jhx-zcfIL,What type of footwear is shown?,Sandal,51,sandals,sandal
61jhx-zcfIL,Is this sandal for women?,Yes,52,yes,yes
61jhx-zcfIL,What material is the sandal made of?,Leather,53,leather,leather
61jhx-zcfIL,Does the upper strap have a cutout design?,Yes,54,no,yes
61jhx-zcfIL,Does this sandal have a high heel?,No,55,no,no
61jhx-zcfIL,Is the toe shape of the sandal pointed?,No,56,yes,no
61jhx-zcfIL,Does the sandal appear to be waterproof?,No,57,no,no
61jhx-zcfIL,Is the sandal designed as a flip-flop?,No,58,yes,no
61jhx-zcfIL,Is the sole of the sandal thick?,No,59,yes,no
81fKX48RynL,What type of mobile accessory is pictured?,Case,60,cell phone,case
81fKX48RynL,Does this cover the front or back of a phone?,Back,61,front,back
81fKX48RynL,What type of shapes make up the pattern?,Geometric,62,circles,geometric
81fKX48RynL,Are the colors on the case vibrant?,Yes,63,yes,yes
81fKX48RynL,Is there a hole for a camera?,Yes,64,yes,yes
81fKX48RynL,What does the pattern visually suggest the material could be?,Glitter,65,mosaic,glitter
81fKX48RynL,What color hue forms a significant portion of the background pattern?,Teal,66,green,teal
81fKX48RynL,How many large distinct shapes are visible in the pattern?,Many,67,8,many
81fKX48RynL,Does the pattern appear ordered or irregular?,Irregular,68,irregularly,irregular
81fKX48RynL,What is a likely physical property of the case based on its appearance?,Rigid,69,plastic,rigid
712YNGdbpFL,What type of item is shown?,Case,70,phone,case
712YNGdbpFL,What is the pattern on the case?,Flowers,71,flowers,flowers
712YNGdbpFL,What color is the main background of the case?,Black,72,black,black
712YNGdbpFL,Is this described as a back cover?,Yes,73,yes,yes
712YNGdbpFL,Is the case described as flexible?,Yes,74,no,yes
712YNGdbpFL,What specific phone model is mentioned in the labels?,Oppo,75,samsung,oppo
712YNGdbpFL,Which brand is listed for the item?,Solimo,76,samsung,solimo
712YNGdbpFL,Does the case have a plain or designer look according to the labels?,Designer,77,plain,designer
712YNGdbpFL,What material is mentioned that makes it soft?,TPU,78,leather,tpu
712YNGdbpFL,Is this case described as multicolor?,Yes,79,no,yes
61n4r7ISPrL,What product category does this belong to?,Case,80,cell phone,case
61n4r7ISPrL,How many main colors are on the case?,Two,81,3,two
61n4r7ISPrL,What object is pictured as the main design?,Headphones,82,phone,headphones
61n4r7ISPrL,Is this case designed to cover the back of a phone?,Yes,83,yes,yes
61n4r7ISPrL,Does the case have only one color?,No,84,yes,no
61n4r7ISPrL,Is the case likely made of a rigid substance?,No,85,yes,no
61n4r7ISPrL,Is the headphone graphic probably applied via printing?,Printed,86,yes,printed
61n4r7ISPrL,Can this item be described as a fashion accessory?,Yes,87,yes,yes
61n4r7ISPrL,Is a lens cutout visible on the back?,Yes,88,yes,yes
61n4r7ISPrL,Is the design a simple geometric shape?,No,89,yes,no
81lWS4Ho9NL,What is the brand name on the label?,365,90,millenium,365
81lWS4Ho9NL,Is the product shown bread?,Yes,91,yes,yes
81lWS4Ho9NL,Is the bread packaged in a clear bag?,Yes,92,yes,yes
81lWS4Ho9NL,"Is the text ""Multigrain"" visible on the label?",Yes,93,yes,yes
81lWS4Ho9NL,What color is the tie closing the bag?,Green,94,green,green
81lWS4Ho9NL,Is there a circular design on the label?,Yes,95,yes,yes
81lWS4Ho9NL,Does the label feature certification logos?,Yes,96,yes,yes
81lWS4Ho9NL,"Is the word ""Seed"" visible on the label?",Yes,97,yes,yes
81lWS4Ho9NL,Is the closure at the top of the bag a twist tie?,Yes,98,yes,yes
81lWS4Ho9NL,"Is the number ""365"" on the label?",Yes,99,yes,yes
61OwsbW3c-L,What type of connector is on the smaller plug?,Lightning,100,usb,lightning
61OwsbW3c-L,What is the main color of the cable?,Rose,101,gray,rose
61OwsbW3c-L,What material is the cable braiding?,Nylon,102,metal,nylon
61OwsbW3c-L,What company is associated with the brand?,Amazon,103,amazon,amazon
61OwsbW3c-L,Is the item new or renewed?,Renewed,104,new,renewed
61OwsbW3c-L,What official certification ensures compatibility with Apple devices?,MFi,105,apple,mfi
61OwsbW3c-L,"Besides charging, what other primary function does this cable perform?",Data,106,charging,data
61OwsbW3c-L,What specific type of connector is on the computer/charger end?,USB,107,usb,usb
61OwsbW3c-L,What Apple device line is frequently mentioned for compatibility?,iPhone,108,apple,iphone
61OwsbW3c-L,What characteristic is enhanced by the nylon braiding?,Durability,109,braided,durability
713x72YSvmL,What kind of accessory is the main object?,Hanger,110,handle,hanger
713x72YSvmL,What color is the mounting plate?,Black,111,black,black
713x72YSvmL,How many screws are shown?,Three,112,6,three
713x72YSvmL,What are the small white items?,Anchors,113,screws,anchors
713x72YSvmL,Is this item used for playing music?,No,114,yes,no
713x72YSvmL,What instrument part does the padded arm likely cradle?,Neck,115,hands,neck
713x72YSvmL,Is this accessory designed for horizontal mounting?,No,116,yes,no
713x72YSvmL,What primary function does the padded arm provide besides support?,Protection,117,to push,protection
713x72YSvmL,Are the provided screws included in the kit?,Yes,118,yes,yes
713x72YSvmL,Is this object primarily for decoration or utility?,Utility,119,utility,utility
61IqJw6XdcL,What type of jewelry is shown?,Earrings,120,earrings,earrings
61IqJw6XdcL,What shape are the earring fronts?,Hexagon,121,octagon,hexagon
61IqJw6XdcL,What month is associated with the birthstone?,April,122,december,april
61IqJw6XdcL,What color is the metal setting?,Gold,123,gold,gold
61IqJw6XdcL,Are these earrings suitable as a gift?,Yes,124,yes,yes
61IqJw6XdcL,How many small stones surround the large center stone on one earring?,Eight,125,9,eight
61IqJw6XdcL,Is a collection name provided in the text?,Yes,126,yes,yes
61IqJw6XdcL,Can these earrings be bought through mail order?,Yes,127,yes,yes
61IqJw6XdcL,Does the text describe the style as simple?,No,128,no,no
61IqJw6XdcL,Are these earrings mentioned as suitable for weddings?,Yes,129,yes,yes
71v6eobsGnL,What color is the main storage container?,Grey,130,gray,grey
71v6eobsGnL,How many accessory bags are shown in the image?,Two,131,2,two
71v6eobsGnL,Does the tall bin have handles?,Yes,132,no,yes
71v6eobsGnL,Is the item identified as a laundry basket in the text?,Yes,133,no,yes
71v6eobsGnL,What feature allows the smaller bags to be closed?,Drawstring,134,zipper,drawstring
71v6eobsGnL,What specific fabric is listed in the product description?,Oxford,135,polyester,oxford
71v6eobsGnL,"According to the text, is this product designed to be portable?",Yes,136,yes,yes
71v6eobsGnL,Does the description mention the ability to collapse the main container?,Yes,137,no,yes
71v6eobsGnL,"Besides laundry, what type of non-clothing items are mentioned for storage?",Sundries,138,trash bags,sundries
71v6eobsGnL,Is the storage capacity described as large?,Yes,139,yes,yes
71Ag28YYwlL,What object is shown in the image?,case,140,phone,case
71Ag28YYwlL,What shape are the small patterns on the case?,heart,141,hearts,heart
71Ag28YYwlL,What is the main color of the phone case?,black,142,black,black
71Ag28YYwlL,Are there any cutouts on the case?,yes,143,no,yes
71Ag28YYwlL,Are all the small shapes the same color?,no,144,yes,no
71Ag28YYwlL,How many distinct colors of hearts are visible?,four,145,4,four
71Ag28YYwlL,What type of material is the case described as in the metadata?,silicone,146,plastic,silicone
71Ag28YYwlL,What specific phone model is this case designed for according to the metadata?,vivo,147,smartphone,vivo
71Ag28YYwlL,Is there a pattern in the background behind the hearts?,yes,148,yes,yes
71Ag28YYwlL,What brand is associated with this case in the metadata?,solimo,149,apple,solimo
91cfqemKVKL,1 What type of furniture is shown?,1 Sofa,150,couch,1 sofa
91cfqemKVKL,2 How many seat cushions does the sofa have?,2 Two,151,2,2 two
91cfqemKVKL,3 What color is the sofa?,3 Grey,152,gray,3 grey
91cfqemKVKL,4 Does the sofa have armrests?,4 Yes,153,yes,4 yes
91cfqemKVKL,5 How many back cushions are on the sofa?,5 Two,154,3,5 two
91cfqemKVKL,6 What material does the sofa appear to be made of?,6 Fabric,155,cloth,6 fabric
91cfqemKVKL,7 Are the sofa legs visible?,7 Yes,156,yes,7 yes
91cfqemKVKL,8 Does the sofa appear to be new?,8 Yes,157,no,8 yes
91cfqemKVKL,9 Is the back of the sofa straight or curved near the top?,9 Curved,158,curved,9 curved
91cfqemKVKL,10 Does the sofa have distinct piping details?,10 Yes,159,no,10 yes
61kiBsqb2RL,What is the main object shown?,Case,160,phone,case
61kiBsqb2RL,What is the base color of the case?,Black,161,black,black
61kiBsqb2RL,What animal design is on the case?,Cat,162,cat,cat
61kiBsqb2RL,What word is visible in the design?,MEOW,163,meow,meow
61kiBsqb2RL,What shape represents the cat's nose?,Heart,164,oval,heart
61kiBsqb2RL,What type of cover is this for a phone?,Back,165,case,back
61kiBsqb2RL,Is the phone case described as flexible?,Yes,166,no,yes
61kiBsqb2RL,What brand is associated with the case?,Solimo,167,sony,solimo
61kiBsqb2RL,Is the design printed on the cover?,Yes,168,yes,yes
61kiBsqb2RL,Is the case compatible with the Mi Redmi Note 7?,Yes,169,yes,yes
81Bnf5a+9QL,What type of lights are shown?,String,170,christmas lights,string
